"ban_w1","ban_w2","ban_change","eo_banimm","eo_banimm_w2","american_identity","amer_id_shift","dem_rep_ind","rep_ind_dem","dem_p","rep_p","partyid","partyid_w2","some_coll_less","education","education_w2","gender","gender_w2","female","age","age_w2","age_r","income","income_w2","income_less_60","white","race","race_w2","vote_trump","trump_app_r","muslim_scale","key_change","eo_keystone","eo_keystone_w2","wall_change","eo_wall","eo_wall_w2","voted_2016","voted_2016_w2","watch_dem_dummy"
3,2,-1,4,3,17,0,1,3,1,0,1,1,1,3,3,1,1,0,1982,1982,34,4,4,0,0,4,4,0,0,26,-1,3,2,1,3,4,1,1,1
3,3,0,5,5,16,4,2,1,0,1,2,2,1,3,3,1,1,0,1976,1976,40,5,5,0,1,1,1,1,1,NA,0,5,5,-2,5,3,2,2,0
1,1,0,1,1,8,-1,1,3,1,0,1,1,0,4,4,1,1,0,1986,1986,30,4,4,0,1,1,1,0,0,42,0,1,1,0,1,1,1,1,0
3,3,0,5,5,20,-1,1,3,1,0,1,1,1,2,2,1,1,0,1958,1958,58,1,1,1,1,1,1,1,1,29,-1,5,4,0,2,2,2,2,0
1,1,0,2,2,18,-5,1,3,1,0,1,1,1,3,3,2,2,1,1965,1965,51,3,4,1,1,1,6,0,0,31,1,1,2,0,1,1,1,1,1
3,3,0,4,4,15,0,3,2,0,0,3,3,1,2,2,1,1,0,1981,1981,35,2,2,1,1,1,1,1,1,29,0,2,2,0,4,4,2,2,1
1,1,-1,2,1,16,0,1,3,1,0,1,1,1,3,3,1,1,0,1980,1980,36,4,4,0,1,1,1,0,0,30,-1,4,3,0,1,1,1,1,1
3,3,-1,5,4,20,-1,2,1,0,1,2,2,1,3,3,2,2,1,1975,1975,41,4,3,0,1,1,1,1,1,21,1,4,5,0,5,5,2,2,1
1,1,-1,2,1,15,-1,1,3,1,0,1,1,1,3,3,2,2,1,1979,1979,37,1,1,1,0,4,4,0,0,39,0,1,1,0,1,1,1,1,0
1,1,0,1,1,7,-1,1,3,1,0,1,1,0,4,4,2,2,1,1983,1983,33,2,2,1,1,1,1,0,0,44,0,1,1,0,1,1,1,1,1
3,3,0,4,4,11,1,3,2,0,0,3,3,1,2,2,2,2,1,1986,1986,30,1,1,1,1,1,1,NA,0,33,0,1,1,0,1,1,3,3,1
1,1,-1,2,1,9,0,1,3,1,0,1,1,1,2,2,1,1,0,1976,1976,40,1,1,1,1,1,1,0,0,37,0,1,1,0,1,1,1,1,1
1,1,0,1,1,14,-2,1,3,1,0,1,1,0,4,4,1,1,0,1975,1975,41,4,4,0,1,1,1,0,0,43,0,1,1,0,1,1,1,1,1
3,3,0,5,5,20,-1,3,2,0,0,3,3,0,4,3,2,2,1,1960,1960,56,5,5,0,1,1,1,1,1,29,0,4,4,0,5,5,2,2,0
1,1,0,2,2,16,-1,1,3,1,0,1,1,1,3,3,2,2,1,1980,1980,36,2,2,1,1,1,1,0,0,37,0,2,2,0,2,2,1,1,1
1,1,-1,2,1,12,2,3,2,0,0,3,3,1,2,2,2,2,1,1984,84,32,1,2,1,1,1,1,NA,0,36,0,1,1,-2,4,2,3,3,1
1,1,1,1,2,18,-1,1,3,1,0,1,1,1,3,3,1,1,0,1983,1983,33,3,3,1,1,1,1,0,0,29,0,1,1,0,1,1,1,1,1
3,1,-3,5,2,20,-12,2,1,0,1,2,2,1,2,2,2,2,1,1996,1996,20,3,2,1,1,1,1,1,1,37,0,1,1,0,4,4,2,4,1
1,1,0,1,1,19,-2,1,3,1,0,1,1,1,3,3,1,1,0,1989,1989,27,2,2,1,1,1,1,0,0,43,0,1,1,0,1,1,1,1,1
3,3,0,5,5,16,2,2,1,0,1,2,2,1,2,2,1,1,0,1969,1969,47,1,1,1,1,1,1,1,1,17,1,4,5,0,5,5,2,2,1
1,1,0,1,1,9,-1,1,3,1,0,1,1,1,3,3,1,1,0,1970,1970,46,1,1,1,1,1,1,0,0,41,0,1,1,0,1,1,1,1,1
1,1,-1,2,1,14,-1,3,2,0,0,3,3,0,4,4,1,1,0,1987,1987,29,5,5,0,0,4,4,NA,0,34,-1,2,1,0,1,1,4,4,1
1,2,1,2,3,13,-1,1,3,1,0,1,1,0,4,4,1,1,0,1985,1985,31,2,3,1,1,1,1,0,1,28,0,4,4,1,3,4,1,1,1
1,1,0,1,1,19,-1,1,3,1,0,1,1,0,4,4,2,2,1,1955,1955,61,1,1,1,1,1,1,0,0,45,0,1,1,0,1,1,1,1,1
1,1,0,1,1,14,-2,1,3,1,0,1,1,1,2,2,1,1,0,1991,1991,25,2,2,1,0,6,6,NA,0,37,0,1,1,0,1,1,4,4,1
2,3,1,3,4,20,-3,2,1,0,1,2,2,0,4,4,1,1,0,1971,1971,45,6,6,0,1,1,1,0,1,38,0,2,2,0,2,2,1,1,1
3,3,-1,5,4,20,0,2,1,0,1,2,2,1,2,2,2,2,1,1992,1992,24,2,2,1,1,1,1,NA,1,27,0,5,5,-2,4,2,4,4,1
1,1,0,1,1,16,0,1,3,1,0,1,1,1,3,3,2,2,1,1979,1979,37,5,5,0,0,4,4,0,0,40,0,1,1,0,1,1,1,1,1
1,1,0,1,1,16,-1,1,3,1,0,1,1,1,3,3,2,2,1,1958,1958,58,3,3,1,1,1,1,0,0,44,0,1,1,0,1,1,1,1,1
3,3,-1,5,4,18,0,3,2,0,0,3,3,1,2,2,1,1,0,1966,1966,50,2,2,1,1,1,1,NA,1,33,1,3,4,2,1,3,4,3,0
3,1,-2,4,2,17,1,1,3,1,0,1,1,1,3,3,2,2,1,1986,1986,30,6,6,0,1,1,1,1,0,30,-1,3,2,-1,4,3,2,2,0
1,3,2,2,4,14,2,3,2,0,0,3,2,1,2,2,2,2,1,1987,1987,29,3,3,1,1,1,1,0,1,19,-2,4,2,2,3,5,1,2,1
2,1,-2,3,1,18,-5,3,2,0,0,3,3,1,3,3,1,1,0,1987,1987,29,5,5,0,1,1,1,NA,0,28,1,2,3,-1,2,1,3,3,1
1,1,0,1,1,17,3,1,3,1,0,1,1,1,3,3,1,1,0,1981,1981,35,4,4,0,1,1,1,0,0,45,0,1,1,0,1,1,1,1,1
1,2,1,2,3,13,3,2,1,0,1,2,2,1,1,1,1,1,0,1991,1991,25,1,1,1,1,1,1,1,1,21,2,1,3,1,3,4,2,2,1
2,3,1,3,4,17,-2,2,1,0,1,2,2,1,3,3,2,2,1,1983,1983,33,2,2,1,1,1,1,1,1,39,1,3,4,1,3,4,2,2,0
2,3,1,3,4,19,1,1,3,1,0,1,1,1,1,1,2,2,1,1973,1973,43,1,1,1,1,1,1,NA,0,35,1,3,4,4,1,5,4,1,0
2,1,-2,3,1,19,0,1,3,1,0,1,1,1,3,3,2,2,1,1984,1984,32,5,5,0,0,6,6,0,0,31,0,1,1,0,1,1,1,1,1
2,1,-2,3,1,11,-4,1,3,1,0,1,1,1,3,3,1,1,0,1979,1979,37,3,3,1,1,1,1,0,0,43,0,1,1,0,1,1,1,1,0
3,3,0,5,5,19,0,2,1,0,1,2,2,1,3,3,2,2,1,1973,1973,43,2,2,1,1,1,1,1,1,30,0,5,5,0,5,5,2,2,1
3,2,-1,4,3,14,-3,3,2,0,0,3,3,1,2,2,1,1,0,1989,1989,27,2,2,1,1,1,1,NA,0,41,-1,2,1,0,1,1,3,3,1
2,3,1,3,4,17,-1,3,2,0,0,3,3,1,2,2,1,1,0,1995,1995,21,2,2,1,1,1,1,1,1,30,1,3,4,1,4,5,2,2,1
3,3,0,5,5,16,1,2,1,0,1,2,2,1,3,3,1,1,0,1986,1986,30,3,3,1,1,1,1,1,1,16,0,5,5,0,5,5,2,2,0
3,2,-1,4,3,13,0,1,3,1,0,1,1,1,2,2,1,1,0,1981,1981,35,1,1,1,0,6,6,0,0,31,0,1,1,1,1,2,1,1,1
1,1,-1,2,1,17,-4,1,3,1,0,1,1,1,3,3,1,1,0,1955,1955,61,4,4,0,0,6,6,0,0,39,1,1,2,0,1,1,1,1,0
1,1,0,1,1,17,-1,1,3,1,0,1,1,0,4,4,2,2,1,1976,1976,40,3,3,1,1,1,1,0,0,44,0,1,1,0,1,1,1,1,1
3,3,0,5,5,15,0,2,1,0,1,2,2,0,4,4,1,1,0,1943,1943,73,3,3,1,1,1,1,NA,1,27,0,5,5,0,5,5,4,2,0
1,1,0,1,1,11,0,1,3,1,0,1,1,1,3,3,2,2,1,1994,1994,22,1,1,1,1,1,1,0,0,36,0,1,1,0,1,1,1,1,1
1,1,-1,2,1,14,2,3,2,0,0,3,3,0,4,4,2,2,1,1962,1962,54,3,3,1,1,1,1,NA,0,39,0,1,1,-1,2,1,3,3,1
3,3,0,5,5,20,0,2,1,0,1,2,2,1,3,3,2,2,1,1965,1965,51,4,4,0,1,1,1,1,1,12,0,5,5,0,5,5,2,2,1
3,3,-1,5,4,20,0,2,1,0,1,2,2,1,3,2,2,2,1,1952,1952,64,4,4,0,1,1,1,1,1,27,1,4,5,0,5,5,2,2,1
3,3,0,5,5,20,0,2,1,0,1,2,2,0,4,4,2,2,1,1965,1965,51,1,1,1,1,1,1,NA,1,14,0,3,3,0,5,5,4,4,1
